127.0.0.1 - - [02/Jul/2021:20:43:46 +0530] "GET /EggSupplier/ HTTP/1.1" 200 14423
127.0.0.1 - - [02/Jul/2021:20:43:46 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:43:46 +0530] "GET /EggSupplier/Images/news1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:43:46 +0530] "GET /EggSupplier/Images/hen12.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:43:46 +0530] "GET /EggSupplier/Images/hen5.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:43:46 +0530] "GET /EggSupplier/Images/service.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:44:47 +0530] "GET /EggSupplier/ HTTP/1.1" 200 14416
127.0.0.1 - - [02/Jul/2021:20:44:47 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:44:47 +0530] "GET /EggSupplier/Images/news1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:44:47 +0530] "GET /EggSupplier/Images/hen12.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:44:47 +0530] "GET /EggSupplier/Images/hen5.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:44:47 +0530] "GET /EggSupplier/Images/service.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:45:02 +0530] "GET /EggSupplier/ HTTP/1.1" 200 14423
127.0.0.1 - - [02/Jul/2021:20:45:02 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:45:02 +0530] "GET /EggSupplier/Images/news1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:45:02 +0530] "GET /EggSupplier/Images/hen12.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:45:02 +0530] "GET /EggSupplier/Images/hen5.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:45:02 +0530] "GET /EggSupplier/Images/service.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:45:09 +0530] "GET /EggSupplier/custlogin.jsp HTTP/1.1" 200 3824
127.0.0.1 - - [02/Jul/2021:20:45:09 +0530] "GET /EggSupplier/Images/hen8.jpg HTTP/1.1" 200 45337
127.0.0.1 - - [02/Jul/2021:20:45:26 +0530] "POST /EggSupplier/custlogin.jsp HTTP/1.1" 302 -
127.0.0.1 - - [02/Jul/2021:20:45:27 +0530] "GET /EggSupplier/custpage.jsp HTTP/1.1" 200 15000
127.0.0.1 - - [02/Jul/2021:20:45:27 +0530] "GET /EggSupplier/cust.css HTTP/1.1" 404 775
127.0.0.1 - - [02/Jul/2021:20:46:43 +0530] "GET /EggSupplier/ HTTP/1.1" 200 14416
127.0.0.1 - - [02/Jul/2021:20:46:43 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:46:43 +0530] "GET /EggSupplier/Images/hen12.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:46:43 +0530] "GET /EggSupplier/Images/news1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:46:43 +0530] "GET /EggSupplier/Images/hen5.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:46:43 +0530] "GET /EggSupplier/Images/service.jpg HTTP/1.1" 304 -
